secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,option_price,K,days_to_expiration,spindx,S,r,q
108105,18/1/07,SPQ.NJ,0,17/2/07,20070117,P,1050000,0,0.25,0,11246,0.406233,-0.002534,4.90E-05,3.103785,-8.088518,32294350,1,0,SPQ,NJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,1050,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPQ.NO,0,17/2/07,,P,1075000,0,0.25,0,0,0.377817,-0.002715,5.60E-05,3.302889,-7.995212,32358892,1,0,SPQ,NO,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,1075,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPQ.NT,0,17/2/07,,P,1000000,0,0.25,0,0,0.464793,-0.002229,3.80E-05,2.763398,-8.256807,32358894,1,0,SPQ,NT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,1000,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPT.NJ,0,17/2/07,20070118,P,1150000,0,0.3,12,1543,0.301294,-0.003973,9.90E-05,4.651519,-8.933937,32294352,1,0,SPT,NJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.15,1150,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPT.NO,0,17/2/07,20070117,P,1175000,0.1,0.35,0,4102,0.2871,-0.006018,0.00015,6.73412,-12.29758,32310856,1,0,SPT,NO,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.225,1175,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPT.NP,0,17/2/07,20070118,P,1180000,0,0.35,1,1010,0.27357,-0.005007,0.000134,5.718583,-9.944616,32353412,1,0,SPT,NP,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.175,1180,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPT.NR,0,17/2/07,20070117,P,1190000,0.1,0.35,0,650,0.270466,-0.006362,0.000168,7.073776,-12.14955,32353409,1,0,SPT,NR,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.225,1190,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SPT.NT,0,17/2/07,20070118,P,1100000,0.05,0.25,200,1260,0.356542,-0.003391,7.30E-05,4.035224,-9.204973,32294354,1,0,SPT,NT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.15,1100,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXB.NJ,0,17/2/07,20070116,P,950000,0,0.25,0,8055,0.525934,-0.00198,3.00E-05,2.481893,-8.405118,32296035,1,0,SXB,NJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,950,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXB.NT,0,17/2/07,20061220,P,900000,0,0.25,0,60,0.590016,-0.001772,2.40E-05,2.244096,-8.537335,32296033,1,0,SXB,NT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,900,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXM.BA,0,17/2/07,20070118,C,1505000,0.05,0.25,2,1684,0.082656,0.013237,0.001041,13.42982,-7.868749,32346629,1,0,SXM,BA,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.15,1505,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXM.BB,0,17/2/07,20070118,C,1510000,0.05,0.25,225,1877,0.087266,0.012611,0.000946,12.87919,-7.928725,32311170,1,0,SXM,BB,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.15,1510,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXM.BC,0,17/2/07,20070117,C,1515000,0.05,0.2,0,2583,0.089684,0.010442,0.000781,10.93185,-6.889578,32311171,1,0,SXM,BC,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.125,1515,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXM.BD,0,17/2/07,20070117,C,1520000,0.05,0.15,0,1593,0.091561,0.008376,0.000631,9.014018,-5.779982,32310723,1,0,SXM,BD,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.1,1520,30,1426.37,1426.37,0.05372753,0.01982594
